EndNodes_1,EndNodes_2,Weight
1110031I02Rik,Rnf8,1
1110031I02Rik,Snw1,1
1110031I02Rik,Supv3l1,1
1110031I02Rik,Tfam,1
1110031I02Rik,Ube2l3,1
1110031I02Rik,Ywhaq,1
1110031I02Rik,Zfp821,1
1110032A03Rik,2310042D19Rik,1
1110032A03Rik,Arid3b,1
1110032A03Rik,Hist1h1d,1
1110032A03Rik,Hist1h3d,1
1110032A03Rik,Pcx,1
1110032A03Rik,Prkcz,1
1110032A03Rik,Sema4d,1
1110032A03Rik,Spdef,1
1110032A03Rik,Tead2,1
1110032A03Rik,Tfcp2l1,1
1110032A03Rik,Zbtb42,1
1110032A03Rik,Zfp579,1
1110038B12Rik,Ilf2,1
1110038B12Rik,Nrip1,1
1110038B12Rik,Pqbp1,1
1110038B12Rik,Prmt1,1
1110038D17Rik,Gpbp1l1,1
1110038D17Rik,Usp3,1
1110038F14Rik,Ash2l,1
1110038F14Rik,Exosc4,1
1110038F14Rik,Nono,1
1110038F14Rik,Pias4,1
1110049F12Rik,Akap8,1
1110049F12Rik,Cbx1,1
1110049F12Rik,Cdc37,1
1110049F12Rik,Ddx39b,1
1110049F12Rik,Dnajc2,1
1110049F12Rik,Dpf2,1
1110049F12Rik,Eif2b5,1
1110049F12Rik,Eif3c,1
1110049F12Rik,Gata3,1
1110049F12Rik,Gnb2l1,1
1110049F12Rik,H2afy,1
1110049F12Rik,Kars,1
1110049F12Rik,Mll2,1
1110049F12Rik,Nanos3,1
1110049F12Rik,Paip1,1
1110049F12Rik,Paip2b,1
1110049F12Rik,Pak1,1
1110049F12Rik,Phb2,1
1110049F12Rik,Psmc2,1
1110049F12Rik,Psmc4,1
1110049F12Rik,Rpl5,1
1110049F12Rik,Smarce1,1
1110049F12Rik,Snw1,1
1110049F12Rik,Ssrp1,1
1110049F12Rik,Ube2b,1
1110049F12Rik,Ube2v1,1
1110049F12Rik,Ubxn2a,1
1110051M20Rik,Bdnf,1
1110051M20Rik,Hdac2,1
1110051M20Rik,Lrpprc,1
1110054M08Rik,Cby1,1
1110054M08Rik,Ccdc56,1
1110054M08Rik,Hdac10,1
1110054M08Rik,Prmt2,1
1110054M08Rik,Setx,1
1110054O05Rik,1500002O20Rik,1
1110054O05Rik,Abcf1,1
1110054O05Rik,Acvrl1,-1
1110054O05Rik,Akap8,1
1110054O05Rik,Cbx1,1
1110054O05Rik,Ddx39b,1
1110054O05Rik,Dnajc2,1
1110054O05Rik,Eef1d,1
1110054O05Rik,Exosc9,1
1110054O05Rik,Fam105b,1
1110054O05Rik,Gnb2l1,1
1110054O05Rik,Kars,1
1110054O05Rik,N4bp2l2,1
1110054O05Rik,Nacc1,1
1110054O05Rik,Nfx1,1
1110054O05Rik,Nfyb,1
1110054O05Rik,Nif3l1,1
1110054O05Rik,Paip1,1
1110054O05Rik,Phb2,1
1110054O05Rik,Psmc2,1
1110054O05Rik,Psmc4,1
1110054O05Rik,Rbm4,1
1110054O05Rik,Rnf25,1
1110054O05Rik,Smarce1,1
1110054O05Rik,Snw1,1
1110054O05Rik,Srsf9,1
1110054O05Rik,Ube2l3,1
1110054O05Rik,Whsc2,1
1110054O05Rik,Wwp2,1
1110054O05Rik,Zfp639,1
1110054O05Rik,Zkscan6,1
1110058L19Rik,Ccnd3,1
1110058L19Rik,Mapk9,1
1110058L19Rik,Wdr35,1
1110058L19Rik,Xrn1,1
1110059E24Rik,Psmd9,1
1110059G10Rik,Nono,1
1110059G10Rik,Tarbp2,1
1190005I06Rik,Hras1,1
1190005I06Rik,Itga3,1
1190005I06Rik,Trim29,1
1190007I07Rik,Dnmt1,1
1190007I07Rik,Exosc4,1
1190007I07Rik,Gtf2h3,1
1190007I07Rik,Pias4,1
1190007I07Rik,Rdbp,1
1190007I07Rik,Trnau1ap,1
1190007I07Rik,Xrcc6,1
1190007I07Rik,Zfp612,1
1190007I07Rik,Zmym5,1
1200011I18Rik,Gins2,1
1200011I18Rik,Glo1,1
1200011I18Rik,Hmgn2,1
1200011I18Rik,Paip2,1
1200011I18Rik,Ppie,1
1200011I18Rik,Tdg,1
1200011I18Rik,Thrap3,1
1200011I18Rik,Wbscr22,1
1200011I18Rik,Yeats4,1
1300010F03Rik,Baz2a,1
1300010F03Rik,Cc2d1a,1
1300010F03Rik,Mycl1,1
1300014I06Rik,Fosl1,1
1500001M20Rik,Gins2,1
1500002O20Rik,2810432D09Rik,1
1500002O20Rik,9130401M01Rik,1
1500002O20Rik,Abcf1,1
1500002O20Rik,Acbd6,1
1500002O20Rik,Actr10,1
1500002O20Rik,Bcas2,1
1500002O20Rik,Blcap,1
1500002O20Rik,Cdk2ap1,1
1500002O20Rik,Chchd4,1
1500002O20Rik,Dcaf13,1
1500002O20Rik,Dcun1d1,1
1500002O20Rik,Ddx27,1
1500002O20Rik,Denr,1
1500002O20Rik,Dnajc7,1
1500002O20Rik,Dohh,1
1500002O20Rik,Eif3i,1
1500002O20Rik,Gnl1,1
1500002O20Rik,Grpel1,1
1500002O20Rik,Hax1,1
1500002O20Rik,Idh3a,1
1500002O20Rik,Ints7,1
1500002O20Rik,Kars,1
1500002O20Rik,Kif5b,1
1500002O20Rik,Kpna6,1
1500002O20Rik,Mapk1ip1l,1
1500002O20Rik,Mdc1,1
1500002O20Rik,Metap2,1
1500002O20Rik,Mettl2,1
1500002O20Rik,Mrpl19,1
1500002O20Rik,Mrps7,1
1500002O20Rik,Mtap7,1
1500002O20Rik,Nacc1,1
1500002O20Rik,Nap1l4,1
1500002O20Rik,Nfx1,1
1500002O20Rik,Nhp2,1
1500002O20Rik,Nif3l1,1
1500002O20Rik,Nol12,1
1500002O20Rik,Nt5c3l,1
1500002O20Rik,Nudc,1
1500002O20Rik,Paip1,1
1500002O20Rik,Pcsk4,1
1500002O20Rik,Pgam5,1
1500002O20Rik,Polr3f,1
