EndNodes_1,EndNodes_2,Weight
1600010M07Rik,Adam8,1
1600010M07Rik,App,1
1600010M07Rik,Cyp3a13,1
1600010M07Rik,Hfe,1
1600010M07Rik,Il1b,1
1600010M07Rik,Il1r2,1
1600010M07Rik,Pid1,1
1600010M07Rik,Sbno2,1
1600010M07Rik,Tcf7l2,1
1600014C10Rik,Tnip1,1
1600027N09Rik,Cd151,1
1600027N09Rik,Gnb1l,1
1600027N09Rik,Hspa14,1
1600027N09Rik,Htatsf1,1
1600027N09Rik,Kpna1,1
1600027N09Rik,Polr3d,1
1600027N09Rik,Rbmxl1,1
1600027N09Rik,Rpusd2,1
1600027N09Rik,Ruvbl2,1
1600027N09Rik,Srsf10,1
1700017B05Rik,Hspa4,1
1700021F05Rik,Eif2s1,1
1700021F05Rik,Yrdc,1
1700021F05Rik,Zfp593,1
1700021K19Rik,B230206F22Rik,1
1700021K19Rik,Cd40,1
1700021K19Rik,Ciita,1
1700021K19Rik,Nfkb2,1
1700021K19Rik,Parp1,1
1700021K19Rik,Pax5,1
1700021K19Rik,Recql5,1
1700021K19Rik,Rel,1
1700021K19Rik,Tlr9,1
1700021K19Rik,Vav2,1
1700025G04Rik,Ccl4,1
1700025G04Rik,Ccl5,1
1700025G04Rik,Ctla2a,1
1700025G04Rik,Eomes,1
1700025G04Rik,Fasl,1
1700025G04Rik,Gpc1,1
1700025G04Rik,Id2,1
1700025G04Rik,Lpin1,1
1700025G04Rik,Padi2,1
1700025G04Rik,Serpinb9,1
1700025G04Rik,Tbx21,1
1700025G04Rik,Vopp1,1
1700025G04Rik,Xcl1,1
1700026L06Rik,Pspc1,1
1700027J07Rik,Hes5,1
1700027J07Rik,Irf4,1
1700027J07Rik,Tcf4,1
1700027J07Rik,Whrn,1
1700028E10Rik,Dek,1
1700028E10Rik,Wbp2,1
1700029F09Rik,2500003M10Rik,1
1700029F09Rik,Ccdc59,1
1700029F09Rik,Chchd3,1
1700029F09Rik,Ecd,1
1700029F09Rik,Mphosph8,1
1700029F09Rik,Mybbp1a,1
1700029F09Rik,Nup62,1
1700029F09Rik,Phb2,1
1700029F09Rik,Psmc4,1
1700029F09Rik,Ythdf1,1
1700030K09Rik,Cd38,1
1700030K09Rik,Ebf1,1
1700030K09Rik,Pmf1,1
1700030K09Rik,Tcf4,1
1700037H04Rik,Dpy30,1
1700040I03Rik,Cops5,1
1700040I03Rik,Tfdp1,1
1700048O20Rik,Hes5,1
1700048O20Rik,Prdm9,1
1700084E18Rik,C1qbp,1
1700084E18Rik,Cebpz,1
1700084E18Rik,Eefsec,1
1700084E18Rik,Eif3d,1
1700084E18Rik,Eif5,1
1700084E18Rik,Eprs,1
1700084E18Rik,Gnl3,1
1700084E18Rik,Lsm2,1
1700084E18Rik,Mybbp1a,1
1700084E18Rik,Ptbp1,1
1700084E18Rik,Rbm25,1
1700084E18Rik,Rbm8a,1
1700084E18Rik,Rrn3,1
1700084E18Rik,Strap,1
1700084E18Rik,Suv39h2,1
1700084E18Rik,Tardbp,1
1700084E18Rik,Trim27,1
1700084E18Rik,Wdr43,1
1700084E18Rik,Xrcc6,1
1700084E18Rik,Zbtb9,1
1700097N02Rik,Airn,1
1810006J02Rik,F2rl1,1
1810006J02Rik,Lime1,1
1810006J02Rik,Prkcq,1
1810006J02Rik,Sla2,1
1810006J02Rik,Snai3,1
1810008A18Rik,Ube2l3,1
1810009A15Rik,Eif2b5,1
1810009A15Rik,Exosc9,1
1810009A15Rik,Kdm2b,1
1810011O10Rik,Nfx1,-1
1810011O10Rik,Psmc1,-1
1810011O10Rik,Tssc4,-1
1810014B01Rik,Chchd3,1
1810014B01Rik,Lsm6,1
1810014B01Rik,Myc,1
1810014B01Rik,Slc35a4,1
1810014B01Rik,Uqcc,1
1810022K09Rik,Aatf,1
1810022K09Rik,Apex1,1
1810022K09Rik,C1qbp,1
1810022K09Rik,Cebpz,1
1810022K09Rik,Cnpy2,1
1810022K09Rik,Ddx1,1
1810022K09Rik,Ddx39b,1
1810022K09Rik,Dkc1,1
1810022K09Rik,Dnttip2,1
1810022K09Rik,Eef1d,1
1810022K09Rik,Eefsec,1
1810022K09Rik,Eif2s1,1
1810022K09Rik,Eif3b,1
1810022K09Rik,Eif3d,1
1810022K09Rik,Eif4a1,1
1810022K09Rik,Eif4a3,1
1810022K09Rik,Eif5b,1
1810022K09Rik,Eprs,1
1810022K09Rik,Gemin5,1
1810022K09Rik,Gnl3,1
1810022K09Rik,Larp7,1
1810022K09Rik,Med8,1
1810022K09Rik,Mif,1
1810022K09Rik,Mta2,1
1810022K09Rik,Mybbp1a,1
1810022K09Rik,Naca,1
1810022K09Rik,Nme1,1
1810022K09Rik,Npm1,1
1810022K09Rik,Pa2g4,1
1810022K09Rik,Pabpc4,1
1810022K09Rik,Phb2,1
1810022K09Rik,Ptbp1,1
1810022K09Rik,Rbm25,1
1810022K09Rik,Rbm8a,1
1810022K09Rik,Rrn3,1
1810022K09Rik,Strap,1
1810022K09Rik,Suv39h2,1
1810022K09Rik,Syncrip,1
1810022K09Rik,Tardbp,1
1810022K09Rik,Tfap4,1
1810022K09Rik,Traf3ip1,1
1810022K09Rik,Trp53,1
1810022K09Rik,Uqcc,1
1810022K09Rik,Utp15,1
1810022K09Rik,Wdr43,1
1810022K09Rik,Wdr61,1
1810022K09Rik,Wdr77,1
1810022K09Rik,Xrcc6,1
