EndNodes_1,EndNodes_2,Weight
6030408B16Rik,Ar,1
6030408B16Rik,Creb3l1,1
6030408B16Rik,Eda,1
6030408B16Rik,Egfr,1
6030408B16Rik,Nrip1,1
6330406I15Rik,Aebp1,1
6330406I15Rik,Aff3,1
6330406I15Rik,Aldh1a2,1
6330406I15Rik,Ar,1
6330406I15Rik,Col1a1,1
6330406I15Rik,Egfr,1
6330406I15Rik,Foxp2,1
6330406I15Rik,Gli2,1
6330406I15Rik,Htra3,1
6330406I15Rik,Il33,1
6330406I15Rik,Larp6,1
6330406I15Rik,Nfix,1
6330406I15Rik,Nupr1,1
6330406I15Rik,Pdgfra,1
6330406I15Rik,Ptgis,1
6330406I15Rik,Sec16b,1
6330406I15Rik,Serpinf1,1
6330406I15Rik,Sox9,1
6330406I15Rik,Sulf1,1
6330406I15Rik,Twist2,1
8430408G22Rik,Cd36,1
8430408G22Rik,Il2rg,1
8430408G22Rik,Nepn,1
8430408G22Rik,Pparg,1
8430408G22Rik,Thrsp,1
9030425E11Rik,Aebp1,1
9030425E11Rik,Aff3,1
9030425E11Rik,Aldh1a2,1
9030425E11Rik,Egfr,1
9030425E11Rik,Foxp2,1
9030425E11Rik,Gli2,1
9030425E11Rik,Larp6,1
9030425E11Rik,Ndn,1
9030425E11Rik,Nupr1,1
9030425E11Rik,Pdgfra,1
9030425E11Rik,Sec16b,1
9030425E11Rik,Serpinf1,1
9030425E11Rik,Twist2,1
9030617O03Rik,Cnot1,1
9030617O03Rik,Fxr1,1
9230112J17Rik,Igsf1,1
9330159M07Rik,Mlxipl,1
9530091C08Rik,Gli3,1
9530091C08Rik,Loxl3,1
9630033F20Rik,Rbm20,1
A430110N23Rik,Chrd,1
A430110N23Rik,Cmklr1,1
A430110N23Rik,Egfr,1
A530013C23Rik,Stau2,1
AI314180,Fastk,1
AI314180,Lrpprc,1
AI314180,Mta1,1
AI607873,Ifi205,1
AI836003,Slc38a3,1
Abca12,Kcnq1,1
Abca12,Klhl31,1
Abca6,Loxl3,1
Abca8a,Col1a1,1
Abca8a,Gas1,1
Abca8a,Loxl3,1
Abca8a,Vgll3,1
Abca9,Creb3l1,1
Abca9,Dact1,1
Abca9,Egfr,1
Abca9,Trps1,1
Abcb4,Slc38a3,1
Abcb8,Apbb1,1
Abcg1,Scarf1,1
Abcg1,Smagp,1
Abcg4,Eda,1
Abcg4,Foxp2,1
Abhd14a,Bcl6,1
Abhd14a,Irak1bp1,1
Abi3,Ctla2a,1
Abi3,Dll1,1
Abi3,Hhex,1
Abi3,Prkch,1
Abi3,Tal1,1
Abi3bp,Aebp1,1
Abi3bp,Aff3,1
Abi3bp,Foxp2,1
Abi3bp,Htra3,1
Abi3bp,Il33,1
Abi3bp,Larp6,1
Abi3bp,Nfix,1
Abi3bp,Nupr1,1
Abi3bp,Pdgfra,1
Abi3bp,Ptgis,1
Abi3bp,Sec16b,1
Abi3bp,Serpinf1,1
Abi3bp,Sulf1,1
Abi3bp,Twist2,1
Ablim3,Car7,1
Ablim3,Fam55d,1
Ablim3,Hoxa5,1
Acad11,Lrpprc,1
Acad12,Uqcc,1
Acad8,Fastk,1
Acad8,Mkks,1
Acad8,Prdx3,1
Acadm,Vegfb,1
Acadvl,Coq7,1
Acadvl,Pdcd5,1
Acadvl,Phtf2,1
