locus,symbols,datasets,datasetIDs,essentiality status,essentiality consensus
ENSMUSG00000000001,Gnai3,1,349,NE,Nonessential
ENSMUSG00000000028,Cdc45,1,349,E,Essential
ENSMUSG00000000031,,1,349,NE,Nonessential
ENSMUSG00000000037,Scml2,1,349,E,Essential
ENSMUSG00000000049,Apoh,1,349,E,Essential
ENSMUSG00000000058,Cav2,1,349,NE,Nonessential
ENSMUSG00000000078,Klf6,1,349,E,Essential
ENSMUSG00000000085,Scmh1,1,349,E,Essential
ENSMUSG00000000093,Tbx2,1,349,E,Essential
ENSMUSG00000000094,Tbx4,1,349,E,Essential
ENSMUSG00000000120,Ngfr,1,349,E,Essential
ENSMUSG00000000125,Wnt3,1,349,E,Essential
ENSMUSG00000000126,Wnt9a,1,349,E,Essential
ENSMUSG00000000127,Fer,1,349,NE,Nonessential
ENSMUSG00000000134,Tcfe3,1,349,NE,Nonessential
ENSMUSG00000000142,Axin2,1,349,E,Essential
ENSMUSG00000000149,Gna12,1,349,NE,Nonessential
ENSMUSG00000000159,Igsf5,1,349,NE,Nonessential
ENSMUSG00000000171,Sdhd,1,349,E,Essential
ENSMUSG00000000182,Fgf23,1,349,E,Essential
ENSMUSG00000000183,Fgf6,1,349,NE,Nonessential
ENSMUSG00000000184,Ccnd2,1,349,E,Essential
ENSMUSG00000000194,Gpr107,1,349,E,Essential
ENSMUSG00000000197,Nalcn,1,349,E,Essential
ENSMUSG00000000204,Slfn4,1,349,NE,Nonessential
ENSMUSG00000000214,Th,1,349,E,Essential
ENSMUSG00000000215,Ins2,1,349,E,Essential
ENSMUSG00000000216,Scnn1g,1,349,E,Essential
ENSMUSG00000000244,Tspan32,1,349,NE,Nonessential
ENSMUSG00000000247,Lhx2,1,349,E,Essential
ENSMUSG00000000263,Glra1,1,349,E,Essential
ENSMUSG00000000266,Mid2,1,349,NE,Nonessential
ENSMUSG00000000275,Trim25,1,349,NE,Nonessential
ENSMUSG00000000276,Dgke,1,349,NE,Nonessential
ENSMUSG00000000278,Scpep1,1,349,NE,Nonessential
ENSMUSG00000000282,Mnt,1,349,E,Essential
ENSMUSG00000000290,Itgb2,1,349,E,Essential
ENSMUSG00000000301,Pemt,1,349,NE,Nonessential
ENSMUSG00000000303,Cdh1,1,349,E,Essential
ENSMUSG00000000305,Cdh4,1,349,NE,Nonessential
ENSMUSG00000000308,Ckmt1,1,349,NE,Nonessential
ENSMUSG00000000317,Bcl6b,1,349,NE,Nonessential
ENSMUSG00000000318,Clec10a,1,349,NE,Nonessential
ENSMUSG00000000320,Alox12,1,349,NE,Nonessential
ENSMUSG00000000325,Arvcf,1,349,NE,Nonessential
ENSMUSG00000000326,Comt1,1,349,NE,Nonessential
ENSMUSG00000000340,Dbt,1,349,E,Essential
ENSMUSG00000000346,Dazap2,1,349,NE,Nonessential
ENSMUSG00000000365,Rnf17,1,349,E,Essential
ENSMUSG00000000378,Ccm2,1,349,E,Essential
ENSMUSG00000000381,Wap,1,349,NE,Nonessential
ENSMUSG00000000385,Tmprss2,1,349,NE,Nonessential
ENSMUSG00000000386,Mx1,1,349,NE,Nonessential
ENSMUSG00000000392,Fap,1,349,NE,Nonessential
ENSMUSG00000000394,Gcg,1,349,E,Essential
ENSMUSG00000000402,Egfl6,1,349,NE,Nonessential
ENSMUSG00000000409,Lck,1,349,NE,Nonessential
ENSMUSG00000000420,Galnt1,1,349,E,Essential
ENSMUSG00000000435,Myf5,1,349,E,Essential
ENSMUSG00000000440,Pparg,1,349,E,Essential
ENSMUSG00000000441,Raf1,1,349,E,Essential
ENSMUSG00000000489,Pdgfb,1,349,E,Essential
ENSMUSG00000000530,Acvrl1,1,349,E,Essential
ENSMUSG00000000531,Grasp,1,349,NE,Nonessential
ENSMUSG00000000532,Acvr1b,1,349,E,Essential
ENSMUSG00000000538,Tom1l2,1,349,NE,Nonessential
ENSMUSG00000000552,Zfp385a,1,349,E,Essential
ENSMUSG00000000555,Itga5,1,349,E,Essential
ENSMUSG00000000560,Gabra2,1,349,E,Essential
ENSMUSG00000000561,Wdr77,1,349,E,Essential
ENSMUSG00000000562,Adora3,1,349,NE,Nonessential
ENSMUSG00000000563,Atp5f1,1,349,E,Essential
ENSMUSG00000000567,Sox9,1,349,E,Essential
ENSMUSG00000000568,Hnrnpd,1,349,NE,Nonessential
ENSMUSG00000000594,Gm2a,1,349,NE,Nonessential
ENSMUSG00000000600,Krit1,1,349,E,Essential
ENSMUSG00000000617,Grm6,1,349,NE,Nonessential
ENSMUSG00000000628,Hk2,1,349,E,Essential
ENSMUSG00000000631,Myo18a,1,349,E,Essential
ENSMUSG00000000632,Sez6,1,349,NE,Nonessential
ENSMUSG00000000682,Cd52,1,349,NE,Nonessential
ENSMUSG00000000690,Hoxb6,1,349,NE,Nonessential
ENSMUSG00000000693,Loxl3,1,349,E,Essential
ENSMUSG00000000706,Btn1a1,1,349,NE,Nonessential
ENSMUSG00000000708,Kat2b,1,349,NE,Nonessential
ENSMUSG00000000724,Cryba1,1,349,NE,Nonessential
ENSMUSG00000000730,Dnmt3l,1,349,E,Essential
ENSMUSG00000000731,Aire,1,349,E,Essential
ENSMUSG00000000732,Icosl,1,349,NE,Nonessential
ENSMUSG00000000738,Spg7,1,349,NE,Nonessential
ENSMUSG00000000751,Rpa1,1,349,E,Essential
ENSMUSG00000000753,Serpinf1,1,349,NE,Nonessential
ENSMUSG00000000766,Oprm1,1,349,NE,Nonessential
ENSMUSG00000000782,Tcf7,1,349,NE,Nonessential
ENSMUSG00000000787,Ddx3x,1,349,E,Essential
ENSMUSG00000000791,Il12rb1,1,349,NE,Nonessential
ENSMUSG00000000794,Kcnn3,1,349,E,Essential
ENSMUSG00000000805,Car4,1,349,E,Essential
ENSMUSG00000000817,Fasl,1,349,E,Essential
ENSMUSG00000000826,Dnajc5,1,349,E,Essential
ENSMUSG00000000827,Tpd52l2,1,349,NE,Nonessential
ENSMUSG00000000838,Fmr1,1,349,NE,Nonessential
ENSMUSG00000000861,Bcl11a,1,349,E,Essential
ENSMUSG00000000869,Il4,1,349,NE,Nonessential
ENSMUSG00000000881,Dlg3,1,349,NE,Nonessential
ENSMUSG00000000884,Gnb1l,1,349,E,Essential
ENSMUSG00000000889,Dbh,1,349,E,Essential
ENSMUSG00000000901,Mmp11,1,349,NE,Nonessential
ENSMUSG00000000902,Smarcb1,1,349,E,Essential
ENSMUSG00000000915,Hip1r,1,349,NE,Nonessential
ENSMUSG00000000934,Top1mt,1,349,NE,Nonessential
ENSMUSG00000000938,Hoxa10,1,349,E,Essential
ENSMUSG00000000942,Hoxa4,1,349,NE,Nonessential
ENSMUSG00000000957,Mmp14,1,349,E,Essential
ENSMUSG00000000958,Slc7a7,1,349,E,Essential
ENSMUSG00000000982,Ccl3,1,349,NE,Nonessential
ENSMUSG00000000983,Expi,1,349,NE,Nonessential
ENSMUSG00000001014,Icam4,1,349,NE,Nonessential
ENSMUSG00000001016,Ilf2,1,349,E,Essential
ENSMUSG00000001017,2500003M10Rik,1,349,E,Essential
ENSMUSG00000001018,Snapin,1,349,E,Essential
ENSMUSG00000001020,S100a4,1,349,E,Essential
ENSMUSG00000001023,S100a5,1,349,NE,Nonessential
ENSMUSG00000001025,S100a6,1,349,E,Essential
ENSMUSG00000001027,Scn4a,1,349,E,Essential
ENSMUSG00000001029,Icam2,1,349,NE,Nonessential
ENSMUSG00000001034,Mapk7,1,349,E,Essential
ENSMUSG00000001036,Epn2,1,349,NE,Nonessential
ENSMUSG00000001039,B9d1,1,349,E,Essential
ENSMUSG00000001052,Sec24b,1,349,E,Essential
ENSMUSG00000001053,N4bp3,1,349,NE,Nonessential
ENSMUSG00000001056,Nhp2,1,349,E,Essential
ENSMUSG00000001089,Luzp1,1,349,E,Essential
ENSMUSG00000001095,Slc13a2,1,349,NE,Nonessential
ENSMUSG00000001098,Kctd10,1,349,E,Essential
ENSMUSG00000001100,Poldip2,1,349,E,Essential
ENSMUSG00000001105,Ift20,1,349,E,Essential
ENSMUSG00000001119,Col6a1,1,349,NE,Nonessential
ENSMUSG00000001123,Lgals9,1,349,NE,Nonessential
ENSMUSG00000001127,Araf,1,349,E,Essential
ENSMUSG00000001128,Cfp,1,349,NE,Nonessential
ENSMUSG00000001131,Timp1,1,349,NE,Nonessential
ENSMUSG00000001150,Mcm3ap,1,349,E,Essential
ENSMUSG00000001151,Pcnt,1,349,E,Essential
ENSMUSG00000001156,Mxd1,1,349,NE,Nonessential
ENSMUSG00000001157,Gmcl1,1,349,NE,Nonessential
ENSMUSG00000001158,Snrnp27,1,349,E,Essential
ENSMUSG00000001173,Ocrl,1,349,NE,Nonessential
ENSMUSG00000001211,Agpat3,1,349,E,Essential
ENSMUSG00000001225,Slc26a3,1,349,E,Essential
ENSMUSG00000001227,Sema6b,1,349,NE,Nonessential
ENSMUSG00000001228,Uhrf1,1,349,E,Essential
ENSMUSG00000001229,Dpp9,1,349,E,Essential
ENSMUSG00000001240,Ramp2,1,349,E,Essential
ENSMUSG00000001247,Lsr,1,349,E,Essential
ENSMUSG00000001249,Hpn,1,349,NE,Nonessential
ENSMUSG00000001270,Ckb,1,349,NE,Nonessential
ENSMUSG00000001280,Sp1,1,349,E,Essential
ENSMUSG00000001281,Itgb7,1,349,NE,Nonessential
ENSMUSG00000001285,Myg1,1,349,NE,Nonessential
ENSMUSG00000001288,Rarg,1,349,E,Essential
ENSMUSG00000001289,Pfdn5,1,349,E,Essential
ENSMUSG00000001300,Efnb2,1,349,E,Essential
ENSMUSG00000001323,Srr,1,349,NE,Nonessential
ENSMUSG00000001333,Sync,1,349,NE,Nonessential
ENSMUSG00000001348,Acp5,1,349,NE,Nonessential
ENSMUSG00000001349,Cnn1,1,349,E,Essential
ENSMUSG00000001366,Fbxo9,1,349,NE,Nonessential
ENSMUSG00000001403,Ube2c,1,349,E,Essential
ENSMUSG00000001416,Cct3,1,349,E,Essential
ENSMUSG00000001418,0610031J06Rik,1,349,NE,Nonessential
ENSMUSG00000001420,Tmem79,1,349,NE,Nonessential
ENSMUSG00000001435,Col18a1,1,349,NE,Nonessential
ENSMUSG00000001436,Slc19a1,1,349,E,Essential
ENSMUSG00000001440,Kpnb1,1,349,E,Essential
ENSMUSG00000001441,Npepps,1,349,E,Essential
ENSMUSG00000001444,Tbx21,1,349,NE,Nonessential
ENSMUSG00000001445,Mrpl10,1,349,NE,Nonessential
ENSMUSG00000001467,Cyp51,1,349,E,Essential
ENSMUSG00000001493,Meox1,1,349,NE,Nonessential
ENSMUSG00000001494,Sost,1,349,NE,Nonessential
ENSMUSG00000001496,Nkx2-1,1,349,E,Essential
ENSMUSG00000001497,Pax9,1,349,E,Essential
ENSMUSG00000001504,Irx2,1,349,NE,Nonessential
ENSMUSG00000001506,Col1a1,1,349,E,Essential
ENSMUSG00000001507,Itga3,1,349,E,Essential
ENSMUSG00000001508,Sgca,1,349,NE,Nonessential
ENSMUSG00000001510,Dlx3,1,349,E,Essential
ENSMUSG00000001517,Foxm1,1,349,E,Essential
ENSMUSG00000001518,Itfg2,1,349,NE,Nonessential
ENSMUSG00000001521,Tulp3,1,349,E,Essential
ENSMUSG00000001542,Ell2,1,349,NE,Nonessential
ENSMUSG00000001552,Jup,1,349,E,Essential
ENSMUSG00000001555,Fkbp10,1,349,E,Essential
ENSMUSG00000001558,Klhl10,1,349,E,Essential
ENSMUSG00000001566,Mnx1,1,349,E,Essential
ENSMUSG00000001583,Tnk1,1,349,NE,Nonessential
ENSMUSG00000001622,Csn3,1,349,NE,Nonessential
ENSMUSG00000001627,Ifrd1,1,349,NE,Nonessential
ENSMUSG00000001630,Stk38l,1,349,NE,Nonessential
ENSMUSG00000001632,Brpf1,1,349,NE,Nonessential
ENSMUSG00000001642,Akr1b3,1,349,NE,Nonessential
ENSMUSG00000001655,Hoxc13,1,349,E,Essential
ENSMUSG00000001657,Hoxc8,1,349,E,Essential
ENSMUSG00000001661,Hoxc6,1,349,NE,Nonessential
ENSMUSG00000001663,Gstt1,1,349,NE,Nonessential
ENSMUSG00000001707,Eef1e1,1,349,E,Essential
ENSMUSG00000001729,Akt1,1,349,E,Essential
ENSMUSG00000001739,Cldn15,1,349,NE,Nonessential
ENSMUSG00000001741,Il16,1,349,NE,Nonessential
ENSMUSG00000001750,Tcirg1,1,349,E,Essential
ENSMUSG00000001751,Naglu,1,349,E,Essential
ENSMUSG00000001761,Smo,1,349,E,Essential
ENSMUSG00000001763,Tspan33,1,349,NE,Nonessential
ENSMUSG00000001773,Folh1,1,349,NE,Nonessential
ENSMUSG00000001774,Chordc1,1,349,E,Essential
ENSMUSG00000001785,Pwp1,1,349,E,Essential
ENSMUSG00000001786,Fbxo7,1,349,E,Essential
ENSMUSG00000001794,Capns1,1,349,E,Essential
ENSMUSG00000001804,Dsg4,1,349,E,Essential
ENSMUSG00000001815,Evx2,1,349,E,Essential
ENSMUSG00000001819,Hoxd13,1,349,E,Essential
ENSMUSG00000001823,Hoxd12,1,349,NE,Nonessential
ENSMUSG00000001827,Folr1,1,349,E,Essential
ENSMUSG00000001833,Sept7,1,349,E,Essential
ENSMUSG00000001847,Rac1,1,349,E,Essential
ENSMUSG00000001855,Nup214,1,349,E,Essential
ENSMUSG00000001864,Aif1l,1,349,NE,Nonessential
ENSMUSG00000001865,Cpa3,1,349,NE,Nonessential
ENSMUSG00000001870,Ltbp1,1,349,E,Essential
ENSMUSG00000001909,Trmt1,1,349,E,Essential
ENSMUSG00000001910,Nacc1,1,349,E,Essential
ENSMUSG00000001911,Nfix,1,349,E,Essential
ENSMUSG00000001930,Vwf,1,349,NE,Nonessential
ENSMUSG00000001942,Siae,1,349,NE,Nonessential
ENSMUSG00000001946,Esam,1,349,NE,Nonessential
ENSMUSG00000001964,Emd,1,349,NE,Nonessential
ENSMUSG00000001985,Grik3,1,349,NE,Nonessential
ENSMUSG00000001986,Gria3,1,349,NE,Nonessential
ENSMUSG00000001998,Ap4e1,1,349,NE,Nonessential
ENSMUSG00000002006,Pdzd4,1,349,NE,Nonessential
ENSMUSG00000002007,Srpk3,1,349,NE,Nonessential
ENSMUSG00000002020,Ltbp2,1,349,E,Essential
ENSMUSG00000002028,Mll1,1,349,E,Essential
ENSMUSG00000002031,Ift46,1,349,E,Essential
ENSMUSG00000002033,Cd3g,1,349,NE,Nonessential
ENSMUSG00000002043,Trappc6a,1,349,NE,Nonessential
ENSMUSG00000002052,Supt6h,1,349,E,Essential
ENSMUSG00000002055,Spag5,1,349,NE,Nonessential
ENSMUSG00000002057,Foxn1,1,349,E,Essential
ENSMUSG00000002058,Unc119,1,349,NE,Nonessential
ENSMUSG00000002059,Rab34,1,349,E,Essential
ENSMUSG00000002068,Ccne1,1,349,NE,Nonessential
ENSMUSG00000002076,Hsf2bp,1,349,NE,Nonessential
ENSMUSG00000002083,Bbc3,1,349,NE,Nonessential
ENSMUSG00000002100,Mybpc3,1,349,NE,Nonessential
ENSMUSG00000002102,Psmc3,1,349,E,Essential
ENSMUSG00000002103,Acp2,1,349,NE,Nonessential
ENSMUSG00000002104,Rapsn,1,349,E,Essential
ENSMUSG00000002105,Slc39a13,1,349,NE,Nonessential
ENSMUSG00000002108,Nr1h3,1,349,NE,Nonessential
ENSMUSG00000002109,Ddb2,1,349,E,Essential
ENSMUSG00000002111,Sfpi1,1,349,E,Essential
ENSMUSG00000002129,Sf3a1,1,349,E,Essential
ENSMUSG00000002147,Stat6,1,349,NE,Nonessential
ENSMUSG00000002190,Clgn,1,349,E,Essential
ENSMUSG00000002221,Paxip1,1,349,E,Essential
ENSMUSG00000002228,Ppm1j,1,349,NE,Nonessential
ENSMUSG00000002233,Rhoc,1,349,NE,Nonessential
ENSMUSG00000002250,Ppard,1,349,E,Essential
ENSMUSG00000002257,Def6,1,349,NE,Nonessential
ENSMUSG00000002265,Peg3,1,349,E,Essential
ENSMUSG00000002279,Lmf1,1,349,E,Essential
ENSMUSG00000002280,Narfl,1,349,E,Essential
ENSMUSG00000002289,Angptl4,1,349,E,Essential
ENSMUSG00000002297,Dbf4,1,349,E,Essential
ENSMUSG00000002307,Daxx,1,349,E,Essential
ENSMUSG00000002308,Cd320,1,349,NE,Nonessential
ENSMUSG00000002324,Rec8,1,349,E,Essential
ENSMUSG00000002325,Irf9,1,349,NE,Nonessential
ENSMUSG00000002341,Ncan,1,349,NE,Nonessential
ENSMUSG00000002384,Bmp8b,1,349,E,Essential
ENSMUSG00000002393,Nr2f6,1,349,NE,Nonessential
ENSMUSG00000002395,Use1,1,349,E,Essential
ENSMUSG00000002413,Braf,1,349,E,Essential
ENSMUSG00000002428,Hltf,1,349,E,Essential
ENSMUSG00000002455,Prpf6,1,349,NE,Nonessential
ENSMUSG00000002486,Tchp,1,349,NE,Nonessential
ENSMUSG00000002489,Tiam1,1,349,NE,Nonessential
ENSMUSG00000002496,Tsc2,1,349,E,Essential
ENSMUSG00000002588,Pon1,1,349,NE,Nonessential
ENSMUSG00000002602,Axl,1,349,NE,Nonessential
ENSMUSG00000002603,Tgfb1,1,349,E,Essential
ENSMUSG00000002633,Shh,1,349,E,Essential
ENSMUSG00000002660,Clpp,1,349,E,Essential
ENSMUSG00000002664,Pspn,1,349,NE,Nonessential
ENSMUSG00000002668,Dennd1c,1,349,NE,Nonessential
ENSMUSG00000002688,Prkd1,1,349,E,Essential
ENSMUSG00000002699,Lcp2,1,349,E,Essential
ENSMUSG00000002718,Cse1l,1,349,E,Essential
ENSMUSG00000002731,Prkra,1,349,E,Essential
ENSMUSG00000002748,Baz1b,1,349,E,Essential
ENSMUSG00000002769,Gnmt,1,349,NE,Nonessential
ENSMUSG00000002771,Grin2d,1,349,NE,Nonessential
ENSMUSG00000002778,Kdelr1,1,349,NE,Nonessential
ENSMUSG00000002799,Jag2,1,349,E,Essential
ENSMUSG00000002812,Flii,1,349,E,Essential
ENSMUSG00000002814,Top3a,1,349,E,Essential
ENSMUSG00000002825,Qtrt1,1,349,NE,Nonessential
ENSMUSG00000002831,Plin4,1,349,NE,Nonessential
ENSMUSG00000002833,Hdgfrp2,1,349,NE,Nonessential
ENSMUSG00000002835,Chaf1a,1,349,E,Essential
ENSMUSG00000002844,Adprh,1,349,NE,Nonessential
ENSMUSG00000002846,4930455C21Rik,1,349,E,Essential
ENSMUSG00000002870,Mcm2,1,349,E,Essential
ENSMUSG00000002881,Nab1,1,349,NE,Nonessential
ENSMUSG00000002885,Cd97,1,349,NE,Nonessential
ENSMUSG00000002897,Il17ra,1,349,NE,Nonessential
ENSMUSG00000002900,Lamb1,1,349,E,Essential
ENSMUSG00000002944,Cd36,1,349,NE,Nonessential
ENSMUSG00000002948,Map2k7,1,349,E,Essential
ENSMUSG00000002957,Ap2a2,1,349,NE,Nonessential
ENSMUSG00000002968,Med25,1,349,E,Essential
ENSMUSG00000002980,Bcam,1,349,NE,Nonessential
ENSMUSG00000002983,Relb,1,349,E,Essential
ENSMUSG00000002985,Apoe,1,349,E,Essential
ENSMUSG00000002992,Apoc2,1,349,NE,Nonessential
ENSMUSG00000002996,Hbp1,1,349,NE,Nonessential
ENSMUSG00000002997,Prkar2b,1,349,NE,Nonessential
ENSMUSG00000003031,Cdkn1b,1,349,E,Essential
ENSMUSG00000003032,Klf4,1,349,E,Essential
ENSMUSG00000003033,Ap1m1,1,349,E,Essential
ENSMUSG00000003037,Rab8a,1,349,E,Essential
ENSMUSG00000003051,Elf3,1,349,E,Essential
ENSMUSG00000003068,Stk11,1,349,E,Essential
ENSMUSG00000003070,Efna2,1,349,NE,Nonessential
ENSMUSG00000003099,Ppp5c,1,349,E,Essential
ENSMUSG00000003123,Lipe,1,349,E,Essential
ENSMUSG00000003131,Pafah1b2,1,349,E,Essential
ENSMUSG00000003153,Slc2a3,1,349,E,Essential
ENSMUSG00000003166,Dgcr2,1,349,NE,Nonessential
ENSMUSG00000003184,Irf3,1,349,NE,Nonessential
ENSMUSG00000003190,Bcl2l12,1,349,NE,Nonessential
ENSMUSG00000003200,Sh3gl1,1,349,NE,Nonessential
ENSMUSG00000003206,Ebi3,1,349,NE,Nonessential
ENSMUSG00000003208,Ccdc94,1,349,E,Essential
ENSMUSG00000003226,Ranbp2,1,349,E,Essential
ENSMUSG00000003227,Edar,1,349,E,Essential
ENSMUSG00000003228,Grk5,1,349,NE,Nonessential
ENSMUSG00000003233,Dvl3,1,349,E,Essential
ENSMUSG00000003235,Eif2b5,1,349,NE,Nonessential
ENSMUSG00000003271,Sult2b1,1,349,NE,Nonessential
ENSMUSG00000003282,Plag1,1,349,NE,Nonessential
ENSMUSG00000003283,Hck,1,349,NE,Nonessential
ENSMUSG00000003308,Keap1,1,349,E,Essential
ENSMUSG00000003316,Glg1,1,349,E,Essential
ENSMUSG00000003341,Atp8b3,1,349,NE,Nonessential
ENSMUSG00000003346,Fam108a,1,349,NE,Nonessential
ENSMUSG00000003352,Cacnb3,1,349,NE,Nonessential
ENSMUSG00000003355,Fkbp11,1,349,NE,Nonessential
ENSMUSG00000003363,Pld3,1,349,NE,Nonessential
ENSMUSG00000003378,Grik5,1,349,NE,Nonessential
ENSMUSG00000003379,Cd79a,1,349,NE,Nonessential
ENSMUSG00000003402,Prkcsh,1,349,E,Essential
ENSMUSG00000003410,Elavl3,1,349,E,Essential
ENSMUSG00000003411,Rab3b,1,349,NE,Nonessential
ENSMUSG00000003420,Fcgrt,1,349,NE,Nonessential
ENSMUSG00000003435,Supt5h,1,349,E,Essential
ENSMUSG00000003436,Dll3,1,349,E,Essential
ENSMUSG00000003438,Timm50,1,349,E,Essential
ENSMUSG00000003458,Ncstn,1,349,E,Essential
ENSMUSG00000003476,Crhr2,1,349,NE,Nonessential
ENSMUSG00000003500,Impdh1,1,349,NE,Nonessential
ENSMUSG00000003518,Dusp3,1,349,NE,Nonessential
ENSMUSG00000003526,Prodh,1,349,NE,Nonessential
ENSMUSG00000003534,Ddr1,1,349,NE,Nonessential
ENSMUSG00000003541,Ier3,1,349,NE,Nonessential
ENSMUSG00000003545,Fosb,1,349,NE,Nonessential
ENSMUSG00000003549,Ercc1,1,349,E,Essential
ENSMUSG00000003555,Cyp17a1,1,349,E,Essential
ENSMUSG00000003559,As3mt,1,349,NE,Nonessential
ENSMUSG00000003575,Crtc1,1,349,E,Essential
ENSMUSG00000003585,Sec14l2,1,349,NE,Nonessential
ENSMUSG00000003604,Aven,1,349,NE,Nonessential
ENSMUSG00000003617,Cp,1,349,NE,Nonessential
ENSMUSG00000003657,Calb2,1,349,NE,Nonessential
ENSMUSG00000003660,Snrnp200,1,349,E,Essential
ENSMUSG00000003665,Has1,1,349,NE,Nonessential
ENSMUSG00000003731,Kpna6,1,349,E,Essential
ENSMUSG00000003752,Itpkc,1,349,NE,Nonessential
ENSMUSG00000003778,Brd8,1,349,E,Essential
ENSMUSG00000003779,Kif20a,1,349,E,Essential
ENSMUSG00000003808,Farsa,1,349,E,Essential
ENSMUSG00000003809,Gcdh,1,349,NE,Nonessential
ENSMUSG00000003810,Mast2,1,349,NE,Nonessential
ENSMUSG00000003812,Dnase2a,1,349,E,Essential
ENSMUSG00000003813,Rad23a,1,349,NE,Nonessential
ENSMUSG00000003814,Calr,1,349,E,Essential
ENSMUSG00000003824,Syce2,1,349,E,Essential
ENSMUSG00000003847,Nfat5,1,349,E,Essential
ENSMUSG00000003849,Nqo1,1,349,NE,Nonessential
ENSMUSG00000003865,Gys1,1,349,E,Essential
ENSMUSG00000003868,Ruvbl2,1,349,E,Essential
ENSMUSG00000003872,Lin7b,1,349,NE,Nonessential
ENSMUSG00000003873,Bax,1,349,E,Essential
ENSMUSG00000003882,Il7r,1,349,NE,Nonessential
ENSMUSG00000003923,Tfam,1,349,E,Essential
ENSMUSG00000003934,Efnb3,1,349,E,Essential
ENSMUSG00000003974,Grm3,1,349,NE,Nonessential
ENSMUSG00000003992,Ssbp2,1,349,E,Essential
ENSMUSG00000004018,Fancl,1,349,E,Essential
ENSMUSG00000004040,Stat3,1,349,E,Essential
ENSMUSG00000004043,Stat5a,1,349,NE,Nonessential
ENSMUSG00000004044,Ptrf,1,349,E,Essential
ENSMUSG00000004054,Map3k11,1,349,E,Essential
ENSMUSG00000004056,Akt2,1,349,NE,Nonessential
ENSMUSG00000004069,Dnaja3,1,349,E,Essential
ENSMUSG00000004070,Hmox2,1,349,NE,Nonessential
ENSMUSG00000004098,Col5a3,1,349,NE,Nonessential
ENSMUSG00000004099,Dnmt1,1,349,E,Essential
ENSMUSG00000004105,Angptl2,1,349,NE,Nonessential
ENSMUSG00000004110,Cacna1e,1,349,NE,Nonessential
ENSMUSG00000004113,Cacna1b,1,349,E,Essential
ENSMUSG00000004127,Rg9mtd2,1,349,NE,Nonessential
ENSMUSG00000004151,Etv1,1,349,E,Essential
ENSMUSG00000004207,Psap,1,349,E,Essential
ENSMUSG00000004221,Ikbkg,1,349,E,Essential
ENSMUSG00000004231,Pax2,1,349,E,Essential
ENSMUSG00000004233,Wars2,1,349,E,Essential
ENSMUSG00000004263,Atn1,1,349,E,Essential
ENSMUSG00000004264,Phb2,1,349,E,Essential
ENSMUSG00000004266,Ptpn6,1,349,E,Essential
ENSMUSG00000004268,Emg1,1,349,E,Essential
ENSMUSG00000004296,Il12b,1,349,NE,Nonessential
ENSMUSG00000004317,Clcn5,1,349,NE,Nonessential
ENSMUSG00000004319,Clcn3,1,349,E,Essential
ENSMUSG00000004328,Hif3a,1,349,NE,Nonessential
ENSMUSG00000004344,Gpx5,1,349,NE,Nonessential
ENSMUSG00000004347,Pde1c,1,349,NE,Nonessential
ENSMUSG00000004359,Spic,1,349,E,Essential
ENSMUSG00000004364,Cul3,1,349,E,Essential
ENSMUSG00000004366,Sst,1,349,NE,Nonessential
ENSMUSG00000004383,Large,1,349,E,Essential
ENSMUSG00000004446,Bid,1,349,NE,Nonessential
ENSMUSG00000004451,Ralb,1,349,NE,Nonessential
ENSMUSG00000004455,Ppp1cc,1,349,E,Essential
ENSMUSG00000004460,Dnajb11,1,349,E,Essential
ENSMUSG00000004462,Tbccd1,1,349,NE,Nonessential
ENSMUSG00000004508,Gab2,1,349,NE,Nonessential
ENSMUSG00000004530,Coro1c,1,349,NE,Nonessential
ENSMUSG00000004535,Tax1bp1,1,349,E,Essential
ENSMUSG00000004552,Ctse,1,349,NE,Nonessential
ENSMUSG00000004558,Ndrg2,1,349,E,Essential
ENSMUSG00000004565,Pnpla6,1,349,E,Essential
ENSMUSG00000004567,Mcoln1,1,349,E,Essential
ENSMUSG00000004568,Arhgef18,1,349,E,Essential
ENSMUSG00000004609,Cd33,1,349,NE,Nonessential
ENSMUSG00000004613,Lim2,1,349,NE,Nonessential
ENSMUSG00000004626,Stxbp2,1,349,E,Essential
ENSMUSG00000004630,Pcp2,1,349,NE,Nonessential
ENSMUSG00000004631,Sgce,1,349,NE,Nonessential
ENSMUSG00000004633,Chn2,1,349,NE,Nonessential
ENSMUSG00000004637,Wwox,1,349,E,Essential
ENSMUSG00000004651,Tyr,1,349,E,Essential
ENSMUSG00000004654,Ghrhr,1,349,NE,Nonessential
ENSMUSG00000004655,Aqp1,1,349,E,Essential
ENSMUSG00000004661,Arid3b,1,349,E,Essential
ENSMUSG00000004665,Cnn2,1,349,NE,Nonessential
ENSMUSG00000004677,Myo9b,1,349,NE,Nonessential
ENSMUSG00000004698,Hdac9,1,349,NE,Nonessential
ENSMUSG00000004707,Ly9,1,349,NE,Nonessential
ENSMUSG00000004709,Cd244,1,349,NE,Nonessential
ENSMUSG00000004730,Emr1,1,349,NE,Nonessential
ENSMUSG00000004768,Rab23,1,349,E,Essential
ENSMUSG00000004771,Rab11a,1,349,E,Essential
ENSMUSG00000004788,Eif2b2,1,349,E,Essential
ENSMUSG00000004791,Pgf,1,349,NE,Nonessential
