locus,symbols,datasets,datasetIDs,essentiality status,essentiality consensus
ENSMUSG00000036898,Zfp157,1,349,NE,Nonessential
ENSMUSG00000036899,Trpv5,1,349,NE,Nonessential
ENSMUSG00000036904,Fzd8,1,349,NE,Nonessential
ENSMUSG00000036908,Unc93b1,1,349,E,Essential
ENSMUSG00000036912,Piwil4,1,349,NE,Nonessential
ENSMUSG00000036918,Ttc7,1,349,E,Essential
ENSMUSG00000036928,Stag3,1,349,E,Essential
ENSMUSG00000036931,Nfkbid,1,349,NE,Nonessential
ENSMUSG00000036932,Aifm1,1,349,E,Essential
ENSMUSG00000036940,Kdm1a,1,349,E,Essential
ENSMUSG00000036941,Elac1,1,349,NE,Nonessential
ENSMUSG00000036943,Rab8b,1,349,NE,Nonessential
ENSMUSG00000036955,2510003E04Rik,1,349,E,Essential
ENSMUSG00000036960,Clca5,1,349,NE,Nonessential
ENSMUSG00000036968,Cnpy4,1,349,E,Essential
ENSMUSG00000036972,Zic4,1,349,E,Essential
ENSMUSG00000036980,Taf6,1,349,E,Essential
ENSMUSG00000036983,Tfb1m,1,349,E,Essential
ENSMUSG00000036986,Pml,1,349,NE,Nonessential
ENSMUSG00000036989,Trim3,1,349,NE,Nonessential
ENSMUSG00000037003,Tenc1,1,349,E,Essential
ENSMUSG00000037010,Apln,1,349,NE,Nonessential
ENSMUSG00000037012,Hk1,1,349,E,Essential
ENSMUSG00000037013,Ss18,1,349,E,Essential
ENSMUSG00000037014,Sstr4,1,349,NE,Nonessential
ENSMUSG00000037016,Frem2,1,349,E,Essential
ENSMUSG00000037017,Zscan21,1,349,NE,Nonessential
ENSMUSG00000037025,Foxa2,1,349,E,Essential
ENSMUSG00000037032,Apbb1,1,349,NE,Nonessential
ENSMUSG00000037034,Pax1,1,349,E,Essential
ENSMUSG00000037035,Inhbb,1,349,E,Essential
ENSMUSG00000037049,Smpd1,1,349,E,Essential
ENSMUSG00000037053,Azgp1,1,349,NE,Nonessential
ENSMUSG00000037058,Paip2,1,349,E,Essential
ENSMUSG00000037060,Prkcdbp,1,349,E,Essential
ENSMUSG00000037062,Sh3glb1,1,349,NE,Nonessential
ENSMUSG00000037071,Scd1,1,349,NE,Nonessential
ENSMUSG00000037072,Sep15,1,349,NE,Nonessential
ENSMUSG00000037104,Socs5,1,349,NE,Nonessential
ENSMUSG00000037110,Ralgapa2,1,349,NE,Nonessential
ENSMUSG00000037111,Setd7,1,349,E,Essential
ENSMUSG00000037112,Sik2,1,349,NE,Nonessential
ENSMUSG00000037119,D15Ertd621e,1,349,E,Essential
ENSMUSG00000037129,Tmprss13,1,349,NE,Nonessential
ENSMUSG00000037138,Aff3,1,349,NE,Nonessential
ENSMUSG00000037148,Arhgap10,1,349,NE,Nonessential
ENSMUSG00000037157,Il22ra1,1,349,NE,Nonessential
ENSMUSG00000037169,Mycn,1,349,E,Essential
ENSMUSG00000037171,Nodal,1,349,E,Essential
ENSMUSG00000037188,Grhl3,1,349,E,Essential
ENSMUSG00000037202,Prf1,1,349,E,Essential
ENSMUSG00000037211,Spry1,1,349,E,Essential
ENSMUSG00000037217,Syn1,1,349,NE,Nonessential
ENSMUSG00000037221,Mospd3,1,349,E,Essential
ENSMUSG00000037224,Zfyve28,1,349,NE,Nonessential
ENSMUSG00000037225,Fgf2,1,349,NE,Nonessential
ENSMUSG00000037236,Matr3,1,349,E,Essential
ENSMUSG00000037242,Clic4,1,349,NE,Nonessential
ENSMUSG00000037247,Pldi,1,349,NE,Nonessential
ENSMUSG00000037251,4930444A02Rik,1,349,E,Essential
ENSMUSG00000037253,Mex3c,1,349,E,Essential
ENSMUSG00000037270,4932438A13Rik,1,349,E,Essential
ENSMUSG00000037279,Ovol2,1,349,E,Essential
ENSMUSG00000037286,Stag1,1,349,E,Essential
